state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termEct,std_med_income,std_employees,std_police_ideal,repLeg,demLeg,repGov,demGov,state,std_black,invLaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_35.54,adults_55.64,adults_65up,male_pop,female_pop,total_.incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless
27,0,,,7,,10,2013,MT,10.14314,-0.734849668,1,-1.367645408,-0.605134007,-0.49218195,1,0,0,1,MONTA,-1.055503928,0,,,7,,10,986300,0.874,0,0.032,0.01,0.148,0,0.31,0,0.234,0.092,0.111,0.25,0.15,0.162,0.497,0.503,14800,57309,45919,34557,53,0,43,0,1878
28,3,,,5,,9,2013,NE,18.68559,0.515288325,1,-0.335073697,-0.699078256,1.393400151,1,0,1,0,NEBRASKA,-0.610376157,0,,,2,,6,1811200,0.809,0.046,0.099,0.018,0.102,0.342,0.225,0.159,0.264,0.093,0.123,0.254,0.127,0.14,0.494,0.506,23200,65422,27577,51762,3060,0,3240,55,3145
29,5,,,13,,14,2013,NV,27.86464,-0.006882866,1,-1.235173804,2.702659727,-0.405319647,0,1,1,0,NEVADA,-0.228838067,0,,,8,,9,2745400,0.522,0.079,0.276,0.077,0.108,0.278,0.224,0.109,0.25,0.091,0.126,0.273,0.122,0.137,0.499,0.501,37500,67344,38637,162556,9036,121,10650,326,7039
30,0,,,3,,4,2013,NH,13.22687,-2.242068679,0,1.544159698,-0.728702605,-0.928264428,0,0,0,1,NEW HAMPSHIRE,-0.981315966,0,,,3,,4,1280700,0.917,0.01,0.031,0.024,0.08,0,0.206,0.157,0.219,0.082,0.104,0.293,0.15,0.152,0.491,0.509,11100,79589,48495,46542,346,0,470,0,1447
31,11,,,15,,23,2013,NJ,88.99162,0.984347858,0,0.522511271,-0.019249253,-0.810595058,0,1,1,0,NEW JERSEY,0.269281105,0,,,4,,12,8716900,0.575,0.124,0.19,0.09,0.064,0.212,0.221,0.056,0.242,0.084,0.114,0.289,0.128,0.143,0.486,0.515,164100,93252,46843,431275,50177,1020,47743,1158,12002
32,6,,,15,,24,2013,NM,20.85193,-1.265576069,0,-1.582362923,-0.151910305,1.565467133,0,1,1,0,NEW MEXICO,-0.896529724,0,,,9,,18,2040200,0.394,0.016,0.473,0.013,0.123,0.21,0.294,0.175,0.26,0.096,0.115,0.25,0.13,0.149,0.492,0.508,34200,55110,41214,86870,1156,47,1206,5,2819
33,0,,,30,,46,2013,NY,196.73546,2.790183005,0,-0.327684416,0.574868609,-0.355566472,0,1,0,1,NEW YORK,0.438853589,0,,,30,,46,19119600,0.57,0.142,0.184,0.079,0.104,0.242,0.261,0.189,0.229,0.096,0.128,0.277,0.128,0.143,0.484,0.516,228100,80227,41755,856142,102218,2114,108053,2013,77430
34,4,,,33,,40,2013,NC,98.4159,0.253988337,0,-1.68077958,-0.05359428,0.683644512,1,0,1,0,NORTH CAROLI,1.159536647,0,,,29,,36,9522500,0.645,0.21,0.088,0.025,0.125,0.28,0.328,0.146,0.248,0.091,0.114,0.277,0.127,0.143,0.482,0.518,156000,58683,32565,491228,83344,1291,85059,1168,12168
35,0,,,2,,4,2013,ND,7.24019,-0.56061661,0,-0.429956349,-0.722268547,-0.123632278,1,0,1,0,NORTH DAKOTA,-0.938922845,0,,,2,,4,693500,0.874,0.016,0.023,0.01,0.092,0,0.202,0,0.236,0.124,0.122,0.246,0.132,0.14,0.507,0.493,8100,69315,29923,11390,103,0,249,2,2069
36,1,,,28,,50,2013,OH,115.70022,1.431664141,1,-1.124977134,-0.442008835,-0.544669631,1,0,1,0,OHIO,0.184494863,0,,,27,,49,11239600,0.806,0.118,0.033,0.018,0.123,0.334,0.251,0.106,0.242,0.089,0.113,0.269,0.137,0.15,0.487,0.513,335500,62005,28044,536892,55820,849,67502,773,12325
