state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termect,std_med_income,std_employees,std_police_ideal,repleg,demleg,repgov,demgov,state,std_black,invlaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_3554,adults_5564,adults_65up,male_pop,female_pop,total_incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless,black_unemp,underreport,black_unemp_per,homeless_per,unemployment_per,total_incar_per,underreport2
37,10,32,37,39,34,49,2015,OK,39.074139,.088925995,1,-1.0522623,-.5188331,2.1421642,1,0,1,0,OKLAHOMA,-.32422259,0,22,27,29,24,39,4730100,.667,.068999998,.101,.02,.125,.287,.252,.183,.26300001,.090999998,.123,.249,.127,.147,.491,.509,73100,58564,30560,106196,7080,133,7114,91,3777,14418,22,.0030481385,.00079850323,.02245111,.015454219,39
37,13,26,32,33,26,37,2016,OK,39.235611,.088925995,1,-.63824838,-.50906694,2.1421642,1,0,1,0,OKLAHOMA,-.32422259,0,13,19,20,13,24,3800800,.66299999,.068999998,.103,.018999999,.122,.28799999,.259,.15700001,.26300001,.092,.122,.24600001,.127,.15000001,.491,.509,74500,60309,31200,101320,6693,119,7228,99,4107,14139,13,.0037200062,.001080562,.026657546,.019601136,24
37,,26,,30,28,48,2017,OK,,-.051857676,1,-.20313755,-.4881503,2.1421642,1,0,1,0,OKLAHOMA,-.32422259,0,,,,,,3803700,.65899998,.068999998,.105,.021,.123,.25799999,.229,.097999997,.26199999,.090000004,.122,.24600001,.12800001,.153,.48899999,.51099998,83500,61988,32185,96788,6424,110,7265,93,4199,13892,,.0036522334,.0011039252,.02544575,.021952309,
38,4,,,13,,18,2013,OR,39.257511,.69433576,0,-.063812114,-.20788911,.55666864,0,1,0,1,OREGON,-.90712798,0,,,9,,14,3851600,.77499998,.016000001,.123,.039000001,.142,.31999999,.26699999,.18700001,.229,.090999998,.121,.266,.139,.154,.493,.50700003,84100,65771,32571,206531,2291,106,3649,93,13822,6139,,.001593883,.0035886385,.05362213,.021835081,14
38,6,,,17,16,18,2014,OR,39.683708,.69433576,0,.21119764,-.20671815,.55666864,0,1,0,1,OREGON,-.90712798,0,,,11,10,12,3889600,.76999998,.017000001,.125,.039999999,.132,.38800001,.26100001,.175,.227,.086999997,.125,.26199999,.139,.16,.49200001,.50800002,82700,66256,33505,192290,2206,131,3578,80,13226,5995,,.0015412896,.0034003498,.04943696,.021261826,12
38,3,15,17,18,15,19,2015,OR,40.246342,-.081175707,0,.42098898,-.1093168,.55666864,0,1,0,1,OREGON,-.89652973,0,12,14,15,12,16,4730100,.76700002,.017000001,.127,.039999999,.127,.359,.25799999,.142,.22400001,.089000002,.124,.26199999,.13699999,.16500001,.49200001,.50800002,82900,67070,32481,171217,2206,125,3231,54,13226,5616,12,.0011872899,.0027961354,.036197331,.017526057,16
38,4,15,17,18,15,20,2016,OR,40.93465,-.081175707,0,.23904131,-.18201113,.55666864,0,1,0,1,OREGON,-.89652973,0,11,13,14,11,16,4014500,.76300001,.017000001,.127,.041999999,.111,.257,.23100001,.149,.223,.088,.127,.25799999,.13600001,.169,.495,.505,82000,69328,32062,149082,2148,92,3051,97,13238,5388,11,.0013421348,.0032975464,.037135884,.020425957,16
38,,12,,12,12,17,2017,OR,,.02455996,0,.82536471,-.2613079,.55666864,0,1,0,1,OREGON,-.89652973,0,,,,,,4063000,.75800002,.017000001,.13,.045000002,.117,.26300001,.189,.13600001,.222,.085000001,.12899999,.259,.134,.171,.49399999,.50599998,84900,72625,33143,127909,1909,68,2670,86,13953,4733,,.0011649028,.0034341619,.031481419,.020895889,
39,24,,,40,,60,2013,PA,127.81338,2.2578275,0,-.31601149,-.65110666,-.50891966,1,0,1,0,PENNSYLVANIA,.03611894,0,,,16,,36,12344300,.78600001,.104,.063000001,.029999999,.097999997,.28299999,.34799999,.191,.226,.089000002,.112,.27000001,.14,.163,.486,.514,355600,65298,32426,530926,51051,881,54892,924,15086,107748,,.0087285629,.0012221026,.04300981,.028806819,36
39,5,,,18,15,34,2014,PA,127.90565,2.2578275,0,-.18525335,-.64274877,-.50891966,1,0,1,0,PENNSYLVANIA,.03611894,0,,,13,10,29,12368000,.78100002,.104,.064999998,.030999999,.098999999,.28299999,.30199999,.153,.22499999,.086999997,.116,.26499999,.142,.16599999,.48699999,.51300001,360800,66298,32606,507513,52030,804,55608,785,15421,109227,,.00883142,.0012468467,.041034363,.029172057,29
